sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File documentation for graduation rate data, 200% of normal time to complete - cohort year 2013 (4-year institutions) - cohort year 2017 (less than 4-year institutions) : 2021",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,GR200_21,,,,,,,,
Introduction,4,  Provisional release:,October 2022,,,,,,,,
Introduction,5,Filename,GR200_21_RV,,,,,,,,
Introduction,6,  Final/revised release:,November 2023,,,,,,,,
Introduction,7,,,,,,,,,,
Introduction,8,Overview,"This file contains the graduation rate status as of August 31, 2021 for the cohort of full-time, first-time degree/certificate-seeking undergraduates. Data for four year institutions include the number of bachelor degree-seeking students who were enrolled in 2013, the number of bachelor degree seeking students who completed a bachelor's degree within 100, 150  or 200 percent of normal time.  Data for less than 4-year institutions include the number of full-time, first-time students who were enrolled in 2017, the number of students who completed any degree/certificate within 100, 150, or 200 percent of normal time.   
",,,,,,,,
Introduction,9,,,,,,,,,,
Introduction,10,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match the First Look Web tables based on provisional data. ",,,,,,,,
Introduction,11,,,,,,,,,,
Introduction,12,Contents of spreadsheet,,,,,,,,,
Introduction,13,,,,,,,,,,
Introduction,14,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,15,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,16,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (provisional release)",,,,,,,,
Introduction,17,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(final/revised release)",,,,,,,,
Introduction,18,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,81281,BAREVCT,N,6,Cont,XBAREVCT,"Revised bachelor's degree-seeking cohort, (cohort year 2013)"
varlist,3,81286,BAEXCLU,N,6,Cont,XBAEXCLU,Exclusions from bachelor's degree-seeking cohort within 150% percent of normal time
varlist,4,81291,BAAC150,N,6,Cont,XBAAC150,Adjusted bachelor's degree-seeking cohort within 150% of normal time
varlist,5,81296,BANC100,N,6,Cont,XBANC100,Number completed a bachelor's degree within 100% of normal time (4-years)
varlist,6,81301,BAGR100,N,6,Cont,XBAGR100,4-year Graduation rate - bachelor's degree within 100% of normal time
varlist,7,81306,BANC150,N,6,Cont,XBANC150,Number completed a bachelor's degree within 150% of normal time (6-years)
varlist,8,81311,BAGR150,N,6,Cont,XBAGR150,6-year Graduation rate - bachelor's degree within 150% of normal time
varlist,9,81316,BAAEXCL,N,6,Cont,XBAAEXCL,Additional exclusions from bachelor's degree-seeking cohort
varlist,10,81321,BAAC200,N,6,Cont,XBAAC200,Adjusted bachelor's degree-seeking cohort within 200% of normal time
varlist,11,81326,BANC200A,N,6,Cont,XBANC20A,Number completed a bachelor's degree between 150% and 200% of normal time
varlist,12,81338,BASTEND,N,6,Cont,XBASTEND,Still enrolled
varlist,13,81331,BANC200,N,6,Cont,XBANC200,Number completed a bachelor's degree within 200% of normal time (8-years)
varlist,14,81336,BAGR200,N,6,Cont,XBAGR200,8-year Graduation rate - bachelor's degree within 200% of normal time
varlist,15,81341,L4REVCT,N,6,Cont,XL4REVCT,"Revised degree/certificate-seeking cohort, (cohort year 2017)"
varlist,16,81346,L4EXCLU,N,6,Cont,XL4EXCLU,Exclusions from degree/certificate-seeking cohort within 150% percent of normal time
varlist,17,81351,L4AC150,N,6,Cont,XL4AC150,Adjusted degree/certificate-seeking cohort within 150% of normal time
varlist,18,81356,L4NC100,N,6,Cont,XL4NC100,Number completed a degree/certificate within 100% of normal time
varlist,19,81361,L4GR100,N,6,Cont,XL4GR100,Graduation rate - degree/certificate within 100% of normal time
varlist,20,81366,L4NC150,N,6,Cont,XL4NC150,Number completed a degree/certificate  within 150% of normal time
varlist,21,81371,L4GR150,N,6,Cont,XL4GR150,Graduation rate - degree/certificate within 150% of normal time
varlist,22,81376,L4AEXCL,N,6,Cont,XL4AEXCL,Additional exclusions from degree/certificate-seeking cohort
varlist,23,81381,L4AC200,N,6,Cont,XL4AC200,Adjusted degree/certificate-seeking cohort within 200% of normal time
varlist,24,81386,L4NC200A,N,6,Cont,XL4NC20a,Number completed a  degree/certificate between 150% and 200% of normal time
varlist,25,81398,L4STEND,N,6,Cont,XL4STEND,Still enrolled
varlist,26,81391,L4NC200,N,6,Cont,XL4NC200,Number completed a degree/certificate within 200% of normal time
varlist,27,81396,L4GR200,N,6,Cont,XL4GR200,Graduation rate - degree/certificate within 200% of normal time
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,81281,BAREVCT,"Revised bachelor's degree-seeking cohort, (cohort year 2013)"
Description,3,81286,BAEXCLU,"Exclusions from bachelor's degree-seeking cohort within 150% percent of normal time

Exclusions who left institution within 150% of normal time and have neither graduated nor transferred to another institution) because of one of the following documented reasons:
The student is deceased or is totally and permanently disabled and thus unable to return to school. 
The student left school to serve in the armed forces or was called to active duty. (DO NOT include students already in the military who transfer to another duty station.) 
The student left school to serve with a foreign aid service of the Federal Government, such as the Peace Corps. 
The student left school to serve on an official church mission.
NOTE: Students who leave the institution for one of the above reasons, but return prior to the 150 percent status date of August 31, may still be reported as exclusions."
Description,4,81291,BAAC150,"Adjusted bachelor's degree-seeking cohort,  Revised cohort minus exclusions"
Description,5,81296,BANC100,"The number of students from the adjusted bachelor's degree-seeking cohort,  who completed a bachelor's degree within 100 percent of normal time (4 years)."
Description,6,81301,BAGR100,"4-year Graduation rate - bachelor’s degree within 100% of normal time 

The number of students from the adjusted bachelor's degree-seeking cohort, who completed a bachelor's degree within 100 percent of normal time (4-years) divided by the adjusted cohort. Note: Adjusted Cohort is the revised cohort minus exclusions as reported by the institution as of 150 percent of normal time. (6-years)."
Description,7,81306,BANC150,"The number of students from the adjusted bachelor's degree-seeking cohort,  who completed a bachelor's degree within 150 percent of normal time (6 years)."
Description,8,81311,BAGR150,"6-year Graduation rate - bachelor’s degree within 150% of normal time 

The number of students from the adjusted bachelor's degree-seeking cohort, who completed a bachelor's degree within 150 percent of normal time (6-years) divided by the adjusted cohort. Note: Adjusted Cohort is the revised cohort minus exclusions as reported by the institution as of 150 percent of normal time. (6-years)."
Description,9,81316,BAAEXCL,"Additional exclusions from bachelor's degree-seeking cohort,

Additional exclusions who left institution between 150% of normal time and 200% of normal time (and have neither graduated nor transferred to another institution) because of one of the following documented reasons:
The student is deceased or is totally and permanently disabled and thus unable to return to school. 
The student left school to serve in the armed forces or was called to active duty. (DO NOT include students already in the military who transfer to another duty station.) 
The student left school to serve with a foreign aid service of the Federal Government, such as the Peace Corps. 
The student left school to serve on an official church mission.
NOTE: Students who leave the institution for one of the above reasons, but return prior to the 200 percent status date of August 31, may still be reported as exclusions."
Description,10,81321,BAAC200,Adjusted bachelor's degree-seeking cohort within 200% of normal time. - Adjusted cohort minus additional exclusion who left institution between 150% of normal time and 200% of normal time
Description,11,81326,BANC200A,"The number of students from the adjusted bachelor's degree-seeking cohort,  who completed a bachelor's degree between 150% and  200% (7 or 8 years) of normal time ."
Description,12,81338,BASTEND,Still enrolled - The number of students who are still enrolled as of the fall census date
Description,13,81331,BANC200,"The number of students from the adjusted bachelor's degree-seeking cohort,  who completed a bachelor's degree within 200 percent of normal time  (8 years)."
Description,14,81336,BAGR200,"8-year Graduation rate - bachelor’s degree within 200% of normal time.

The number of students from the adjusted bachelor's degree-seeking cohort, who completed a bachelor's degree within 200 percent of normal time (8-years) divided by the adjusted cohort. Note: Adjusted Cohort is the revised cohort minus exclusions as reported by the institution as of 200 percent of normal time. (8-years)."
Description,15,81341,L4REVCT,Revised degree/certificate-seeking cohort (cohort year 2017) in two-year and less-than-two year institutions
Description,16,81346,L4EXCLU,"Exclusions from degree/certificate-seeking cohort within 150% percent of normal time (two year and less-than-two year institutions)

Exclusions who left institution within 150% of normal time and have neither graduated nor transferred to another institution) because of one of the following documented reasons:
The student is deceased or is totally and permanently disabled and thus unable to return to school. 
The student left school to serve in the armed forces or was called to active duty. (DO NOT include students already in the military who transfer to another duty station.) 
The student left school to serve with a foreign aid service of the Federal Government, such as the Peace Corps. 
The student left school to serve on an official church mission.
NOTE: Students who leave the institution for one of the above reasons, but return prior to the 150 percent status date of August 31, may still be reported as exclusions."
Description,17,81351,L4AC150,Adjusted degree/certificate-seeking cohort within 150% of normal time - Revised cohort minus exclusions  (two-year and less-than-two year institutions)
Description,18,81356,L4NC100,"The number of students from the adjusted degree/certificate-seeking cohort, who completed a degree/certificate within 100 percent of normal time. (two-year and less-than-two year institutions).

Normal time is 2 years for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,19,81361,L4GR100,"Graduation rate - degree/certificate within 100% of normal time (two-year and less-than-two year institutions)

The number of students from the adjusted degree/certificate-seeking cohort, who completed a program within 100 percent of normal time  divided by the adjusted cohort. Note: Adjusted Cohort is the revised cohort minus exclusions as reported by the institution as of 150 percent of normal time.

Normal time is 2 years for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,20,81366,L4NC150,"Number completed a degree/certificate within 150% of normal time (two-year and less-than-two year institutions)

The number of students from the adjusted degree/certificate-seeking cohort,  who completed a program within 150 percent of normal time.

Normal time is 2 years for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,21,81371,L4GR150,"Graduation rate - degree/certificate within 150% of normal time (two-year and less-than-two year institutions)

The number of students from the adjusted degree/certificate-seeking cohort,  who completed a program within 150 percent of normal time divided by the adjusted degree/certificate-seeking cohort. Note: Adjusted Cohort is the revised cohort minus exclusions as reported by the institution as of 150 percent of normal time.

Normal time is 2 years for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,22,81376,L4AEXCL,"Additional exclusions from degree/certificate-seeking cohort (two-year and less-than-two year institutions)

Additional exclusions who left institution between 150% of normal time and 200% of normal time (and have neither graduated nor transferred to another institution) because of one of the following documented reasons:
The student is deceased or is totally and permanently disabled and thus unable to return to school. 
The student left school to serve in the armed forces or was called to active duty. (DO NOT include students already in the military who transfer to another duty station.) 
The student left school to serve with a foreign aid service of the Federal Government, such as the Peace Corps. 
The student left school to serve on an official church mission.
NOTE: Students who leave the institution for one of the above reasons, but return prior to the 200 percent status date of August 31, may still be reported as exclusions."
Description,23,81381,L4AC200,"Adjusted degree/certificate-seeking cohort within 200% of normal time (two-year and less-than-two year institutions)

Adjusted degree/certificate-seeking cohort at 150% of normal time minus additional exclusions.

Normal time is 2 years for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,24,81386,L4NC200A,"The number of students from the adjusted degree/certificate-seeking cohort,  who completed a program  between 150% and  200% of normal time. (two-year and less-than-two year institutions).

Normal time is 2 years for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,25,81398,L4STEND,Still enrolled - The number of students who are still enrolled as of the fall census date
Description,26,81391,L4NC200,"The number of students from the adjusted degree/certificate-seeking cohort,  who completed a program within 200% of normal time. (two-year and less-than-two year institutions).

Normal time is 2 years for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,27,81396,L4GR200,"Graduation rate - degree/certificate within 200% of normal time (two-year and less-than-two year institutions)

The number of students from the adjusted degree/certificate-seeking cohort,  who completed a program within 200% of normal time divided by the adjusted cohort. Adjusted Cohort is the revised cohort minus exclusions as reported by the institution as of 200 percent of normal time. 

Normal time is 2 years for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs."
Description,28,,,
Description,29,,,
Description,30,,,
Description,31,,,
Description,32
Description,33
Description,34
Description,35
Description,36
Description,37
Description,38
Description,39
Description,40
Description,41
Description,42
Description,43
Description,44
Description,45
Description,46
Description,47
Description,48
Description,49
Description,50
Description,51
Description,52
Description,53
Description,54
Description,55
Description,56
Description,57
Description,58
Description,59
Description,60
Description,61
Description,62
Description,63
Description,64
Description,65
Description,66
Description,67
Description,68
Description,69
Description,70
Description,71
Description,72
Description,73
Description,74
Description,75
Description,76
Description,77
Description,78
Description,79
Description,80
Description,81
Description,82
Description,83
Description,84
Description,85
Description,86
Description,87
Description,88
Description,89
Description,90
Description,91
Description,92
Description,93
Description,94
Description,95
Description,96
Description,97
Description,98
Description,99
Description,100
Description,101
Description,102
Description,103
Description,104
Description,105
Description,106
Description,107
Description,108
Description,109
Description,110
Description,111
Description,112
Description,113
Description,114
Description,115
Description,116
Description,117
Description,118
Description,119
Description,120
Description,121
Statistics,0,varnumber,varname,n,sum,mean,min,max,varTitle
Statistics,1,81281,BAREVCT,1966,1495303,760.58138351983723,1,15623,"Revised bachelor's degree-seeking cohort, (cohort year 2013)"
Statistics,2,81286,BAEXCLU,1966,5249,2.6698880976602237,0,1117,Exclusions from bachelor's degree-seeking cohort within 150% percent of normal time
Statistics,3,81291,BAAC150,1966,1490054,757.91149542217704,1,15613,Adjusted bachelor's degree-seeking cohort within 150% of normal time
Statistics,4,81296,BANC100,1966,667156,339.34689725330622,0,8216,Number completed a bachelor's degree within 100% of normal time (4-years)
Statistics,5,81301,BAGR100,1966,73912,37.595116988809764,0,100,4-year Graduation rate - bachelor's degree within 100% of normal time
Statistics,6,81306,BANC150,1966,940913,478.59257375381486,0,11195,Number completed a bachelor's degree within 150% of normal time (6-years)
Statistics,7,81311,BAGR150,1966,100440,51.088504577822988,0,100,6-year Graduation rate - bachelor's degree within 150% of normal time
Statistics,8,81316,BAAEXCL,1966,-886,-0.4506612410986775,-823,21,Additional exclusions from bachelor's degree-seeking cohort
Statistics,9,81321,BAAC200,1966,1490940,758.36215666327564,1,15613,Adjusted bachelor's degree-seeking cohort within 200% of normal time
Statistics,10,81326,BANC200A,1966,27577,14.026958290946084,0,904,Number completed a bachelor's degree between 150% and 200% of normal time
Statistics,11,81338,BASTEND,1966,10767,5.4766022380467954,0,392,Still enrolled
Statistics,12,81331,BANC200,1966,968490,492.61953204476094,0,11466,Number completed a bachelor's degree within 200% of normal time (8-years)
Statistics,13,81336,BAGR200,1966,103514,52.652085452695829,0,100,8-year Graduation rate - bachelor's degree within 200% of normal time
Statistics,14,81341,L4REVCT,3102,831171,267.94680851063828,1,5930,"Revised degree/certificate-seeking cohort, (cohort year 2017)"
Statistics,15,81346,L4EXCLU,3102,652,0.21018697614442294,0,73,Exclusions from degree/certificate-seeking cohort within 150% percent of normal time
Statistics,16,81351,L4AC150,3102,830519,267.73662153449385,1,5930,Adjusted degree/certificate-seeking cohort within 150% of normal time
Statistics,17,81356,L4NC100,3102,215065,69.331076724693744,0,2343,Number completed a degree/certificate within 100% of normal time
Statistics,18,81361,L4GR100,3102,113004,36.429400386847192,0,100,Graduation rate - degree/certificate within 100% of normal time
Statistics,19,81366,L4NC150,3102,344954,111.20373952288845,0,2343,Number completed a degree/certificate  within 150% of normal time
Statistics,20,81371,L4GR150,3102,181140,58.394584139264992,0,100,Graduation rate - degree/certificate within 150% of normal time
Statistics,21,81376,L4AEXCL,3102,179,5.7704706640876853E-2,0,25,Additional exclusions from degree/certificate-seeking cohort
Statistics,22,81381,L4AC200,3102,830340,267.67891682785302,1,5929,Adjusted degree/certificate-seeking cohort within 200% of normal time
Statistics,23,81386,L4NC200A,3102,31841,10.264667956157318,0,537,Number completed a  degree/certificate between 150% and 200% of normal time
Statistics,24,81398,L4STEND,3102,36177,11.66247582205029,0,470,Still enrolled
